PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,NUMTRD,Ticker
12490,1/6/2020,133.2,134.24001,134.10001,2426305,134.07001,134.10001,,
12490,1/7/2020,133.39999,134.96001,134.19,3275968,134.12,134.14999,,
12490,1/8/2020,133.92,135.86,135.31,4346140,135.28,135.3,,
12490,1/9/2020,135.31,136.78999,136.74001,3732830,136.71001,136.74001,,
12490,1/10/2020,136.31,137.87,136.69,3255641,136.66,136.69,,
12490,1/13/2020,135.07001,136.64,136.60001,3531572,136.62,136.63,,
12490,1/14/2020,135.55,137.13901,135.82001,3683458,135.78,135.8,,
12490,1/15/2020,135.71001,138.05499,136.62,4045952,136.64999,136.66,,
12490,1/16/2020,137.00999,138.19,137.98,4320911,138.00999,138.02,,
12490,1/17/2020,136.16,138.33,138.31,5623336,138.27,138.28,,
12490,1/21/2020,137.60001,139.35001,139.17,7244079,139.09,139.10001,,
12490,1/22/2020,142.55,145.78999,143.89,16470431,143.92999,143.94,,
12490,1/23/2020,142.14999,144.4097,142.87,5657790,142.86,142.89,,
12490,1/24/2020,140.46001,143.92,140.56,5580189,140.56,140.59,,
12490,1/27/2020,138.10001,140.069,138.62,4166562,138.57001,138.60001,,
12490,1/28/2020,138.75,140.47,139.55,3451557,139.53999,139.55,,
12490,1/29/2020,137.595,139.58,137.69,3054714,137.69,137.7,,
12490,1/30/2020,134.97,136.97,136.77,5057906,136.77,136.78,,
12490,1/31/2020,140.78999,144.05,143.73,18994560,143.7,143.71001,,
12490,2/3/2020,143.89999,147.28,146.27,8887502,146.25,146.25999,,
12490,2/4/2020,146.88,149.38,149.11,5620966,149.11,149.13,,
12490,2/5/2020,150.14999,157.44,156.33,14386823,156.35001,156.36,,
12490,2/6/2020,155.42,158.75,156.75999,8400545,156.77,156.78999,,
12490,2/7/2020,152.92,155.53999,153.41,6423429,153.35001,153.36,,
12490,2/10/2020,151.58,154.44,154.42999,5239807,154.41,154.42999,,
12490,2/11/2020,152.73039,155.22,153.48,3835112,153.48,153.49001,,
12490,2/12/2020,153.52,155.60001,155.31,4438007,155.3,155.32001,,
12490,2/13/2020,153.41,154.83,154.31,3820697,154.38,154.44,,
12490,2/14/2020,149.77,154.56,150.7,6099244,150.61,150.64999,,
12490,2/18/2020,149.64,151.38,151.10001,3343514,151.05,151.09,,
12490,2/19/2020,150.31,151.89,150.86,2733277,150.82001,150.83,,
12490,2/20/2020,149.50999,151.62,151.22,2880709,151.17999,151.22,,
12490,2/21/2020,148.84,151.03999,149.84,3537258,149.83,149.84,,
12490,2/24/2020,145.38,148.05,146.42999,5452408,146.42999,146.46001,,
12490,2/25/2020,141.261,147.07001,141.71001,6211547,141.72,141.75,,
12490,2/26/2020,139.60001,144.06,139.75,5409537,139.73,139.75999,,
12490,2/27/2020,133.00999,138.69,133.11,8421125,133.00999,133.02,,
12490,2/28/2020,126.36,131.09,130.14999,13012228,130.08,130.09,,
12490,3/2/2020,127.95,134.44,134.3,8531415,134.39,134.39999,,
12490,3/3/2020,127.8,136.095,128.89999,7896068,128.85001,128.86,,
12490,3/4/2020,129,134.28,134.22,4996370,134.17,134.2,,
12490,3/5/2020,128.45,132.28999,129.55,5446227,129.52,129.53,,
12490,3/6/2020,124.52,128.33,127.73,8193257,127.77,127.78,,
12490,3/9/2020,117.28,122.41,117.81,10757487,117.66,117.71,,
12490,3/10/2020,115.76,124.88,124.77,11410688,124.88,124.89,,
12490,3/11/2020,116.3838,122.58,117.97,8451038,117.94,117.95,,
12490,3/12/2020,102.28,109.8,102.81,12512655,102.8,102.81,,
12490,3/13/2020,100.81,109.16,107.95,12502113,107.94,107.95,,
12490,3/16/2020,95,107.41,99.08,10567960,99.08,99.09,,
12490,3/17/2020,97.1,107.395,106.65,9258338,106.65,106.69,,
12490,3/18/2020,99.4,106.9345,103.55,8772460,103.58,103.59,,
12490,3/19/2020,98.235,103.69,100.34,8396521,100.33,100.34,,
12490,3/20/2020,94.71,100.99,95.39,10546455,95.37,95.39,,
12490,3/23/2020,90.56,97.74,94.77,9729393,94.6,94.73,,
12490,3/24/2020,99.26,106.04,105.48,7973944,105.42,105.48,,
12490,3/25/2020,102.83,112.4779,105.85,8654047,105.8,105.94,,
12490,3/26/2020,105.57,113.15,112.89,7158052,112.64,112.72,,
12490,3/27/2020,107.645,111.5,108.03,6423038,107.92,107.93,,
12490,3/30/2020,107.81,113.46,112.93,5564541,112.88,112.91,,
12490,3/31/2020,110.17,113.81,110.93,6346676,110.86,110.89,,
12490,4/1/2020,104.521,109.92,105.14,6112947,105.14,105.21,,
12490,4/2/2020,105.14,110.32,110,6328674,109.99,110,,
12490,4/3/2020,104.92,110.07,106.34,4538750,106.35,106.4,,
12490,4/6/2020,110.13,115.63,114.82,7034193,114.71,114.74,,
12490,4/7/2020,114.87,119.57,114.94,5595329,114.94,114.96,,
12490,4/8/2020,115.0742,119.96,119.29,5158641,119.21,119.22,,
12490,4/9/2020,120.1672,122.92,121.5,5576815,121.5,121.51,,
12490,4/13/2020,118.04,121.8,121.15,5119713,121.26,121.27,,
12490,4/14/2020,122.62,125.18,123.91,5088660,123.82,123.83,,
12490,4/15/2020,116.76,120.1852,118.69,5637341,118.7,118.75,,
12490,4/16/2020,114.42,119.75,115.73,6457556,115.63,115.64,,
12490,4/17/2020,117.92,120.39,120.12,4965992,120.1,120.12,,
12490,4/20/2020,118.14,122.8635,120.41,8181736,120.61,120.61,,
12490,4/21/2020,112.06,117.145,116.76,14349032,116.75,116.76,,
12490,4/22/2020,117.55,120.33,119.31,7087869,119.25,119.26,,
12490,4/23/2020,119.12,123.03,121.35,6881615,121.43,121.44,,
12490,4/24/2020,120.7634,125,124.72,4987346,124.71,124.72,,
12490,4/27/2020,125.47,126.99,125.92,4923806,125.86,125.87,,
12490,4/28/2020,125.38,128.2,126.27,4778144,126.24,126.25,,
12490,4/29/2020,127.53,129.31,128.69,5257579,128.71001,128.72,,
12490,4/30/2020,125.22,127.27,125.56,6635783,125.46,125.52,,
12490,5/1/2020,121.39,123.47,121.87,4925535,121.82,121.83,,
12490,5/4/2020,119.391,121.97,121.68,4017877,121.69,121.7,,
12490,5/5/2020,122.47,124.32,122.58,3899416,122.58,122.59,,
12490,5/6/2020,122.41,124.05,123.17,3864589,123.15,123.17,,
12490,5/7/2020,120.85,123.26,121.23,4414328,121.22,121.23,,
12490,5/8/2020,121.06,123.23,122.99,5003939,122.93,122.94,,
12490,5/11/2020,120.67,123.45,122.59,3535276,122.55,122.56,,
12490,5/12/2020,120.26,124.32,120.26,4784457,120.3,120.31,,
12490,5/13/2020,114.85,119.99,115.73,5882813,115.73,115.74,,
12490,5/14/2020,111.81,117.09,116.95,5259373,117,117.01,,
12490,5/15/2020,115.25,117.39,116.98,4786330,116.98,117.01,,
12490,5/18/2020,119.75,122.36,121.56,4207593,121.52,121.53,,
